2025-04-20 07:59:19.653 [traceId=] [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-04-20 07:59:31.802 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-20 07:59:32.188 [traceId=] [main] INFO  com.sky.SkyApplication - Started SkyApplication in 7.06 seconds (JVM running for 9.159)
2025-04-20 07:59:32.190 [traceId=] [main] INFO  com.sky.SkyApplication - server started
2025-04-20 07:59:39.501 [traceId=] [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-04-20 07:59:39.504 [traceId=] [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2025-04-20 07:59:42.055 [traceId=] [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.12 on 192.168.0.100 with PID 45030 (/Users/zry/Desktop/sky-out/sky-server/target/classes started by zry in /Users/zry/Desktop/sky-out)
2025-04-20 07:59:42.056 [traceId=] [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "dev"
2025-04-20 07:59:42.948 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-04-20 07:59:42.951 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-04-20 07:59:42.976 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-04-20 07:59:44.455 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-04-20 07:59:44.467 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-20 07:59:44.468 [traceId=] [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-20 07:59:44.468 [traceId=] [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-04-20 07:59:44.660 [traceId=] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-20 07:59:44.661 [traceId=] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2551 ms
2025-04-20 07:59:45.223 [traceId=] [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-04-20 07:59:45.403 [traceId=] [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-20 07:59:45.754 [traceId=] [main] INFO  com.sky.config.MinioConfiguration - 加载minio配置值：MinioProperties(endpoint=http://localhost:9000, accessKey=minioadmin, secretKey=minioadmin, bucketName=mybucket)
2025-04-20 07:59:46.578 [traceId=] [main] INFO  com.sky.config.WebMvcConfiguration - 开始注册自定义拦截器...
2025-04-20 07:59:47.500 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-20 07:59:47.525 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-20 07:59:47.926 [traceId=] [main] INFO  com.sky.SkyApplication - Started SkyApplication in 6.372 seconds (JVM running for 7.199)
2025-04-20 07:59:47.929 [traceId=] [main] INFO  com.sky.SkyApplication - server started
2025-04-20 07:59:56.264 [traceId=] [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-04-20 07:59:56.266 [traceId=] [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2025-04-20 07:59:58.610 [traceId=] [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.12 on 192.168.0.100 with PID 45127 (/Users/zry/Desktop/sky-out/sky-server/target/classes started by zry in /Users/zry/Desktop/sky-out)
2025-04-20 07:59:58.611 [traceId=] [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "dev"
2025-04-20 07:59:59.445 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-04-20 07:59:59.449 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-04-20 07:59:59.477 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2025-04-20 08:00:00.386 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-04-20 08:00:00.396 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-20 08:00:00.397 [traceId=] [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-20 08:00:00.397 [traceId=] [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-04-20 08:00:00.505 [traceId=] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-20 08:00:00.505 [traceId=] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1847 ms
2025-04-20 08:00:00.642 [traceId=] [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-04-20 08:00:00.775 [traceId=] [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-20 08:00:01.052 [traceId=] [main] INFO  com.sky.config.MinioConfiguration - 加载minio配置值：MinioProperties(endpoint=http://localhost:9000, accessKey=minioadmin, secretKey=minioadmin, bucketName=mybucket)
2025-04-20 08:00:01.597 [traceId=] [main] INFO  com.sky.config.WebMvcConfiguration - 开始注册自定义拦截器...
2025-04-20 08:00:02.302 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-20 08:00:02.324 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-20 08:00:02.652 [traceId=] [main] INFO  com.sky.SkyApplication - Started SkyApplication in 4.598 seconds (JVM running for 5.39)
2025-04-20 08:00:02.654 [traceId=] [main] INFO  com.sky.SkyApplication - server started
